,revenue
1915,3462
6864,45833132
495,11838218
445,343786
2941,6916869
653,99000
6348,83188165
2374,52604
3031,64780213
7068,108609310
6081,36500000
6688,16057580
6451,264
1096,26330482
1381,25000000
1623,460226
2737,880674609
6584,309208309
2786,101236
2154,9713500
547,16324573
349,3515061
5269,8894289
3113,8936663
7217,42487325
4541,474968763
1864,181466833
4400,1189315
4998,150000
474,6500000
1437,62985
4224,81600000
5757,47636016
7837,45681173
7640,27
1410,3500605
5055,20766616
993,28744356
3347,286000
1127,14010690
1304,921974
969,274470394
4878,5409517
6591,167805466
5321,414351546
310,8459458
5979,117094902
4734,148675066
2276,37473
3356,90425
898,16627188
917,3662459
1700,7286388
5708,25118063
4180,124305181
5099,2777280
7183,348319861
563,36606743
5365,236412453
2456,6856989
2428,34585416
2347,230698791
1817,33700
791,222300000
3223,7875862
1980,4417580
515,21133087
7134,74597643
2356,17218080
2575,1000000
232,2225098
5003,6265483
2180,156822020
978,66976317
1644,34522221
4269,20000000
1979,21888598
5299,378410542
2691,13555988
4324,41323171
270,72417394
2209,961000000
1663,15502112
4511,24267
6577,26518355
6825,2415396
20,136159423
7832,2052466
818,233755553
27,7847000
6349,5108820
7272,9195
2316,43455230
2645,76000000
7189,11000863
2722,603943
7773,291420351
7585,31853080
2733,48093211
4028,170764026
7927,924793
3400,276891
3350,15073942
7941,34949567
4810,16856124
7087,5285197
7118,107352
4812,74541707
3967,55181129
4251,7471304
1833,1200627
2067,46471023
1651,21890845
5106,355688
579,88
2878,18999718
2320,21170563
4863,6000000
5696,5450815
3098,2198044
6405,136982834
1655,12000000
2291,1686429
2103,107217396
6725,9709451
4218,566006
7232,35926213
2072,1822250
5043,877244782
5275,354825435
5362,168841459
384,100230832
4780,30859000
1640,25000000
517,123726688
1070,6819587
5051,16702864
6352,150000000
2844,6614280
329,384335608
4574,21709020
2225,7800000
697,265452
1326,1117920
585,310000000
2788,1337274
1051,17487531
142,615816
3659,15260000
4533,0
147,86758912
7771,20966644
3696,34251525
2517,132900000
4246,39514713
6811,763847
7549,36133014
2296,188133322
685,3788000
6984,25105255
1270,284139100
2359,6029824
5561,12639297
1819,314195
4788,68233629
4524,271430189
46,660940780
7556,10329747
7133,42108
3955,9322895
5550,950000
4966,59520298
1788,104931801
5636,178800000
4886,16115878
6666,24707633
407,6682098
395,900689
7628,609016565
4818,1708837
1929,1749201
4344,500000
314,350170057
2471,14010832
497,44065653
1128,29400000
6593,70595464
7940,6436211
6307,51702483
3806,116873
815,60740827
687,1382462
3423,12666
3989,7825000
3737,306889114
7952,27312
3757,28650575
1582,12000000
4590,753808
6675,58
2184,18000000
856,10000000
5292,47624253
2081,49797148
4741,76901
7866,6451628
4271,19351569
6143,21485066
2448,56359980
215,173965010
3526,0
1325,3983997
171,2585639
6184,7808524
6375,36609995
1994,47267001
2472,331926147
714,29174648
648,16300000
6205,32686500
5890,3964682
5552,224012234
796,33579813
6016,1620436
4174,356743061
8000,72617068
5184,174318
1882,20642922
3850,17768900
2437,325756637
851,2042530
3549,493214993
3001,480000
6387,99357138
3337,30905
1924,415252786
4452,1300000
4085,3014000
7285,3169719
5888,460978
1792,8349430
2993,219417255
1955,243240178
2805,2275557
2131,129000000
1361,45100
1857,1805884
6972,117813057
6833,397783
492,66351
5252,44000
3188,14858240
5188,7527232
3079,45735397
3362,124191
5885,106683817
5182,146292000
6327,35485056
5449,7000000
7784,51718367
3304,585174222
6851,3094813
7527,13596911
4584,363204635
2666,54674226
7876,201275
5535,1
7870,242717113
3743,30000000
5110,321952
1789,11403529
5914,4000000
6378,16000000
6163,3333306
1656,62000000
1253,57252
2723,3566637
3334,9566593
2830,665450
933,174822325
6470,72500000
6094,3983912
5250,13290368
1675,7237794
1608,159773545
2940,102000000
849,8500000
3358,29180280
7957,221303188
3131,183700
2281,7985929
2965,441809770
5304,10289
478,22165608
6385,101203
5799,1500000
2995,1596687
3956,44229441
3874,24084
1019,6272403
5126,0
6124,8996802
3387,32395
95,14353
2494,99303
5808,135039924
1646,35739755
2211,136400000
7792,14011454
155,109862682
4433,163876815
5722,2000000
1920,32248241
2257,49084830
2720,35150960
7353,160388063
6415,70687344
6416,291465000
1179,24689703
7171,1753979
4119,5380118
1530,47410000
2962,57330873
4169,732655
1334,227817248
5248,157920733
4048,119137784
3571,45000000
1957,119946358
7482,186003591
2622,37641
6178,70687344
2725,102471
1173,28281
2750,14980005
2751,29355203
2015,136000000
6857,559298
2533,2019009
2058,347434178
7490,4505922
5934,311950384
5531,17566040
3698,16815892
4666,277448382
250,42700000
3728,43440294
2585,1406224
6311,108979549
7614,270248367
6126,1477030
7930,3527636
4505,208000000
2453,1914166
7459,65460
6148,3142154
3738,12225023
1749,26144
7497,105011053
1095,352194034
6534,1104682
4714,11787127
7403,83615414
7793,1672940
7803,1612259
5052,50752337
2449,36779296
734,1023784195
6559,205405498
3289,10539000
4182,269958228
367,1644060
5066,24500000
907,128499205
7377,2294291
819,2402459
2623,90024292
5987,71585235
6528,43318349
229,2474000
5826,27484464
2267,90508336
2266,374111707
2811,186702
7320,1
7537,25052000
3854,609841637
2109,502758
3138,163712074
505,10759
2415,23202734
1004,4235151
7173,31651
2686,123182
3295,2280148
5119,14752
4815,3176880
1518,269823
5098,115229890
6377,11390479
6496,321731527
3104,71073932
248,147080413
1157,7339398
80,9237470
728,16656125
511,194647323
2979,77477008
6151,18644570
5907,205668210
674,76932943
2565,21567853
6542,61389680
3794,17762705
4365,173046663
2717,110996879
3937,529076069
1688,91636986
4082,1794187
2060,32483410
1066,9584131
6127,12077441
4036,29202884
7589,156835339
324,5669831
29,94935764
4423,169837010
1166,8500000
138,3065860
7901,62076141
272,46044400
5829,86947965
924,850259
1961,35456
990,13885802
7896,259175788
6101,22182353
788,2334228
1323,3337685
2659,25754284
202,110000000
7715,110627965
7869,15447154
7244,357986087
6156,24172201
2904,16491080
4980,720074
2426,1334173
6448,59827328
6070,175372502
2697,11000000
2753,22921898
2422,6347072
7001,143695338
3500,543514353
4419,13475000
5477,1628154
7532,187112
7317,9524340
6137,13200170
3026,60765
7382,56303596
4582,88823111
6899,63174
4299,200512643
84,13101672
3483,944915
4388,61255921
108,18535191
137,4350774
4747,964206
1390,68106245
2259,1829917
7821,250000
6975,6948633
7934,44785053
2183,918239
6152,14900000
7418,4398989
7783,19
1405,36894225
3817,55494066
5296,4607608
2769,42333295
3212,368100420
1413,524668
2918,1700000
1908,152427960
4891,2000000
3863,255000211
1670,24145613
2952,65663276
6727,38585
1264,31720158
2389,20000000
7593,424988211
4919,96800000
447,254134910
5047,7200000
7517,65048678
5446,102616183
185,161001698
3053,8109160
3925,631744560
6291,149878437
5994,187500000
840,2978994
7542,21587700
4859,30169
7315,30857
5560,122915111
1832,36144000
2210,29326868
7642,83282296
4641,38399961
2516,12173470
5925,3377430
5455,98337295
7799,694600
2926,41098065
91,215339
6590,4856298
1197,846704
1805,33461269
3462,24946533
5518,4385516
2833,60328000
2496,605562
7862,102600000
1333,15504
2900,486937
613,16980098
2566,2899975
696,20000000
1754,1
3030,63931
7059,149542245
7623,11772461
7745,3250537
654,553198
2670,22270
6315,12484444
3603,550782
7110,203277636
6201,5000000
6954,2
7360,14500000
1427,119772232
7865,195268056
1273,16929123
1744,83719388
2903,18928871
1369,49000000
4834,20423389
1717,242688965
1136,50673078
1584,20455276
2165,10076790
6843,11859533
1385,970816
1509,3214116
4394,28780255
1000,13878334
3801,22441323
2367,27734391
1522,243000
936,14000000
5650,123821
284,48126384
1936,14051384
14,358372926
1259,418961
2639,67112664
2967,7600000
3985,44460850
6924,160000000
3489,7000000
5581,45000000
1546,519535
2170,15656193
2938,403170142
5909,8892589
5958,314178011
5889,5753490
5263,105173115
4564,12700000
1565,133346506
534,46474
1030,21107746
5549,24000000
3407,40758
7528,36192775
1280,19204593
1222,559852396
7695,274703340
4204,173000000
5364,14061361
1834,102780
7568,365134
3361,19294901
5012,35000
3851,9538948
3853,500
5566,8100000
5193,230600
7899,1777043
2357,662845518
